tweetText_clean,tweetText,label,image_link,link_status,id,event
Why it's Charlie Hebdo's right to draw Muhammad,Why it's Charlie Hebdo's right to draw Muhammad http://t.co/GlF9dgwFS0 http://t.co/Vkfw5ZbmvC,real,https://pbs.twimg.com/media/B6vogCeCcAInfe5.jpg,,552791203432103937,charliehebdo
in support of those that have died today in Paris #CharlieHebdo #freedomwillNeverDie,in support of those that have died today in Paris #CharlieHebdo #freedomwillNeverDie http://t.co/FkkDZXChdt,real,https://pbs.twimg.com/media/B6vpg5XIMAAbQAJ.jpg,,552792131447037952,charliehebdo
"More Charlie Hebdo covers, including ""the life of Mohamed"". These are people willing to kill over a cartoon.","More Charlie Hebdo covers, including ""the life of Mohamed"". These are people willing to kill over a cartoon. http://t.co/VAEnDpBYSu",real,https://pbs.twimg.com/media/B6vnAc5IAAARkhv.jpg,,552792518870708224,charliehebdo
Not 1st attack on #CharlieHebdo. Office was firebombed on 2 Nov '11 over controvers. caricature of Prophet Muhammad,Not 1st attack on #CharlieHebdo. Office was firebombed on 2 Nov '11 over controvers. caricature of Prophet Muhammad http://t.co/0wAINRJ1Z7,real,https://pbs.twimg.com/media/B6vq8KiCMAIZxmq.jpg,,552793759210307584,charliehebdo
Paris alert status raised to the highest level with #CharlieHebdo gunmen reportedly on the run,Paris alert status raised to the highest level with #CharlieHebdo gunmen reportedly on the run http://t.co/xcK8lY9IeR http://t.co/tQuxQ06Q7f,real,https://pbs.twimg.com/media/B6vrTxuCIAAuNVt.jpg,,552794514424102913,charliehebdo
'...but I will to the death defend your right to say it'. #charliehebdo #voltaire,'...but I will to the death defend your right to say it'. #charliehebdo #voltaire http://t.co/oFEHT8Xx3v,real,https://pbs.twimg.com/media/B6vsHrAIUAEmxdf.jpg,,552794995942772736,charliehebdo
VIDEO from the scene of fatal shooting in Paris #CharlieHebdo,VIDEO from the scene of fatal shooting in Paris http://t.co/sL3aG464Lt #CharlieHebdo http://t.co/FLC3mR5C2S,real,https://pbs.twimg.com/media/B6vrEMVCAAEeIiQ.png,,552795056080691200,charliehebdo
It would go some way as a tribute to those killed at #CharlieHebdo if papers in every democracy published this Thurs,It would go some way as a tribute to those killed at #CharlieHebdo if papers in every democracy published this Thurs http://t.co/CyqwWWWgJh,real,https://pbs.twimg.com/media/B6vs1A8IgAEx6-V.jpg,,552795778922864640,charliehebdo
French president #Hollande says there is no doubt attack on #CharlieHebdo is terrorist attack.,French president #Hollande says there is no doubt attack on #CharlieHebdo is terrorist attack. http://t.co/Rve1Lp0EXf http://t.co/8LFA5LFSnS,real,https://pbs.twimg.com/media/B6vs6fyCYAENwjm.jpg,,552795953301045248,charliehebdo
DEVELOPING: Paris on high terrorist alert after #CharlieHebdo shooting - Hollande,DEVELOPING: Paris on high terrorist alert after #CharlieHebdo shooting - Hollande http://t.co/3Jsosc7yl3 http://t.co/Lvv3J8o6e8,real,https://pbs.twimg.com/media/B6vtOGNCYAAT6Qa.jpg,,552796269069209600,charliehebdo
Check this photo via journo @EliseBarthet. Alleged pic of the gunmen facing a police car near #CharlieHebdo offices:,Check this photo via journo @EliseBarthet. Alleged pic of the gunmen facing a police car near #CharlieHebdo offices: http://t.co/eBpt190LD0,real,https://pbs.twimg.com/media/B6vtferCUAAJ5r-.jpg,,552796506642591744,charliehebdo
Here are some of the satirical pictures Charlie Hebdo have produced #freespeech #BanIslam,Here are some of the satirical pictures Charlie Hebdo have produced #freespeech #BanIslam http://t.co/m4OaNCf5e0,real,https://pbs.twimg.com/media/B6vtlK1IMAAyYRQ.jpg,,552796619104866304,charliehebdo
#CharlieHebdo: Love is stronger than hate.,#CharlieHebdo: Love is stronger than hate. http://t.co/23KHz2OsH3,real,https://pbs.twimg.com/media/B6vtl26CYAIY1Wj.jpg,,552796625467621376,charliehebdo
#CharlieHebdo - Hollande: Media shooting was 'undoubtedly terrorist attack'. Photo: Kenzo Tribouillard #AFP,#CharlieHebdo - Hollande: Media shooting was 'undoubtedly terrorist attack'. Photo: Kenzo Tribouillard #AFP http://t.co/ZK41w7J7yc,real,https://pbs.twimg.com/media/B6vtzEZCYAAg2_v.jpg,,552796895513681920,charliehebdo
Spread this cover in solidarity with the victims at Charlie Hebdo. Don't let the sword conquer the pen.,Spread this cover in solidarity with the victims at Charlie Hebdo. Don't let the sword conquer the pen. http://t.co/XVkPPbkLhn,real,https://pbs.twimg.com/media/B6vt-7tCUAASIpI.jpg,,552797058990870528,charliehebdo
Video of #terrorists attacking Charlie Hebdo HQ in Paris,Video of #terrorists attacking Charlie Hebdo HQ in Paris http://t.co/SdniwkJtT1 http://t.co/z6O8IhNjCk,real,https://pbs.twimg.com/media/B6vuCHrCEAEwGmP.png,,552797170295144449,charliehebdo
"Six days after Charlie Hebdo’s offices were firebombed, their front cover was this. “Love is stronger than hate.”","Six days after Charlie Hebdo’s offices were firebombed, their front cover was this. “Love is stronger than hate.” http://t.co/7YInU4Cc00",real,https://pbs.twimg.com/media/B6vumtkCIAAjZeK.jpg,,552797729504886784,charliehebdo
Our thoughts go out out to people at Charlie Hebdo and their families. Senseless violence is never the answer.,Our thoughts go out out to people at Charlie Hebdo and their families. Senseless violence is never the answer. http://t.co/YGscPqvtYM,real,https://pbs.twimg.com/media/B6vvm4rCcAA6vlV.jpg,,552798832359374849,charliehebdo
France raises national alert system to highest level after attack at Charlie Hebdo HQ,France raises national alert system to highest level after attack at Charlie Hebdo HQ http://t.co/TyRyAhzSPP http://t.co/cWYQCmwg0z,real,https://pbs.twimg.com/media/B6vv2lQIMAAydny.jpg,,552799100715167744,charliehebdo
"I do not agree with what you have to say, but I'll defend to the death your right to say it - Voltaire #CharlieHebdo","I do not agree with what you have to say, but I'll defend to the death your right to say it - Voltaire #CharlieHebdo http://t.co/Mbn5SiWA7Z",real,https://pbs.twimg.com/media/B6vwT57CUAIhkaR.jpg,,552799606833430528,charliehebdo
"""100 lashes if you don't die of laughter."" Eleven people killed over this. #Paris #CharlieHebdo","""100 lashes if you don't die of laughter."" Eleven people killed over this. #Paris #CharlieHebdo http://t.co/87cB3mWVAQ",real,https://pbs.twimg.com/media/B6vwXr9IUAAobLX.jpg,,552799669521481728,charliehebdo
How to respond to the murderous attack on Charlie Hebdo? Every newspaper in the free world should print this.,How to respond to the murderous attack on Charlie Hebdo? Every newspaper in the free world should print this. http://t.co/sC2ot63F6j,real,https://pbs.twimg.com/media/B6vwvCVIQAASBJx.jpg,,552800070199148544,charliehebdo
There is never justification for violence because one is offended by a cartoon. Ever. #CharlieHebdo,There is never justification for violence because one is offended by a cartoon. Ever. #CharlieHebdo http://t.co/RhBpC5Iwh9,real,https://pbs.twimg.com/media/B6vw3KXCQAQkQSD.jpg,,552800222553079809,charliehebdo
At least 11 dead in Muslim terror attack on France. Show your support by posting Charlie Hebdo cartoons. #banislam,At least 11 dead in Muslim terror attack on France. Show your support by posting Charlie Hebdo cartoons. #banislam http://t.co/85PozIrhHg,real,https://pbs.twimg.com/media/B6vxgyDIMAIhapj.jpg,,552800929519792128,charliehebdo
#France has a problem (and quite a serious one) #CharlieHebdo,#France has a problem (and quite a serious one) #CharlieHebdo http://t.co/H15l2ARF3d,real,https://pbs.twimg.com/media/B6vxq-qIMAMDMLL.jpg,,552801115516186625,charliehebdo
Masked gunmen pictured near #CharlieHebdo offices,Masked gunmen pictured near #CharlieHebdo offices http://t.co/Zvfj25EnEc http://t.co/qTWhoLqICk,real,https://pbs.twimg.com/media/B6vyMB_IUAAmf-5.jpg,,552801667855695873,charliehebdo
The right 2 draw Muhammad without being shot is as precious to many of us as Muhammad is to the #CharlieHebdo killers,The right 2 draw Muhammad without being shot is as precious to many of us as Muhammad is to the #CharlieHebdo killers http://t.co/QeDw4tRoK9,real,https://pbs.twimg.com/media/B6vyeJtCEAAtFvo.jpg,,552801979861598208,charliehebdo
"The 2011 issue of Charlie Hebdo, whose cover featured Mohammed.","The 2011 issue of Charlie Hebdo, whose cover featured Mohammed. http://t.co/eSflYdFBRH",real,https://pbs.twimg.com/media/B6vyf7rCIAA6Omw.jpg,,552802011733716992,charliehebdo
Map shows where gun attack on satirical magazine #CharlieHebdo took place in central Paris,Map shows where gun attack on satirical magazine #CharlieHebdo took place in central Paris http://t.co/5AZAKumpNd http://t.co/ECFYztMVk9,real,https://pbs.twimg.com/media/B6vylD0CIAEdxMw.jpg,,552802098602319873,charliehebdo
Quran says: Whoever kills an innocent soul.. it is as if they had killed the entire humanity. #CharlieHebdo #Paris,Quran says: Whoever kills an innocent soul.. it is as if they had killed the entire humanity. #CharlieHebdo #Paris http://t.co/UinZ805MpA,real,https://pbs.twimg.com/media/B6vyk8FCAAA-qZH.jpg,,552802099331735552,charliehebdo
Video has emerged showing the moment gunmen opened fire at #CharlieHebdo's HQ in Paris.,Video has emerged showing the moment gunmen opened fire at #CharlieHebdo's HQ in Paris. http://t.co/ZRSbE9Fc1L http://t.co/tE7KwlhuSN,real,https://pbs.twimg.com/media/B6vy0SVCQAEbsR4.jpg,,552802515969138688,charliehebdo
"Parisian doctor: ""Let's all subscribe to #CharlieHebdo...It'll be in my waiting room until I retire."" via @bourmeau","Parisian doctor: ""Let's all subscribe to #CharlieHebdo...It'll be in my waiting room until I retire."" via @bourmeau http://t.co/3IjTQCk3o7",real,https://pbs.twimg.com/media/B6vy-RPCcAEmF6C.png,,552802531672588288,charliehebdo
"I do not agree with what you have to say, but I'll defend to the death your right to say it - Voltaire #CharlieHebdo","I do not agree with what you have to say, but I'll defend to the death your right to say it - Voltaire #CharlieHebdo http://t.co/5fzKhE1LdJ",real,https://pbs.twimg.com/media/B6vzxxWCAAEvUIp.jpg,,552803431702749184,charliehebdo
"In reporting the story, the Telegraph has pixilated Charlie Hebdo's La Vie De Mahomet:","In reporting the story, the Telegraph has pixilated Charlie Hebdo's La Vie De Mahomet: http://t.co/ElhnzUNr0A http://t.co/jdHLcQBtfp",real,https://pbs.twimg.com/media/B6vz82wCYAAxufZ.jpg,,552803792618799106,charliehebdo
Headline from #CharlieHebdo this week: ISIS executes Phorphet Mohamed; police chase terrorists,Headline from #CharlieHebdo this week: ISIS executes Phorphet Mohamed; police chase terrorists http://t.co/4qqVIjLP8A http://t.co/1zJuiZVLf3,real,https://pbs.twimg.com/media/B6v0d5tCYAAW28_.jpg,,552804175310901248,charliehebdo
Time to #TakeAStand #IAmCharlieHebdo #CharlieHebdo,Time to #TakeAStand #IAmCharlieHebdo #CharlieHebdo http://t.co/V9ZUa4VRJy,real,https://pbs.twimg.com/media/B6vzq7QCAAADpth.jpg,,552804454773567488,charliehebdo
I support #CharlieHebdo and a free press. Please RT these cartoons to show a united and dignified defiance.,I support #CharlieHebdo and a free press. Please RT these cartoons to show a united and dignified defiance. http://t.co/Mc2aOwSHYA,real,https://pbs.twimg.com/media/B6v1AmhCEAEoF4z.jpg,,552804784819154944,charliehebdo
What we know about the gunmen in the #CharlieHebdo attack: (Pic: Gelbard/AFP/Getty),What we know about the gunmen in the #CharlieHebdo attack: http://t.co/z4xLMmeDl5 (Pic: Gelbard/AFP/Getty) http://t.co/KKtg9fGeba,real,https://pbs.twimg.com/media/B6v0WIvCMAIZRUZ.jpg,,552805050620604418,charliehebdo
"Journalists, admin staff and police officers among those injured in #CharlieHebdo attack","Journalists, admin staff and police officers among those injured in #CharlieHebdo attack http://t.co/cMsu4ASQjl http://t.co/zqkHLJK5b9",real,https://pbs.twimg.com/media/B6v18f6IMAEq75T.jpg,,552805799106732032,charliehebdo
#Picture IS terrorist scum executes injured police man in #Paris. #CharlieHebdo,#Picture IS terrorist scum executes injured police man in #Paris. #CharlieHebdo http://t.co/wov8G7GL0b,real,https://pbs.twimg.com/media/B6v2LVOCIAAMpZK.png,,552806056154644480,charliehebdo
Satirical French magazine #CharlieHebdo attacked by gunmen: latest news report,Satirical French magazine #CharlieHebdo attacked by gunmen: latest news report http://t.co/gjTbTOQIMo http://t.co/IIKBOs2Puk,real,https://pbs.twimg.com/media/B6v2MslCAAAISQN.jpg,,552806077755326464,charliehebdo
#CharlieHebdo: Nothing can justify attack &amp; those who organised &amp; committed these crimes should be brought to justice,#CharlieHebdo: Nothing can justify attack &amp; those who organised &amp; committed these crimes should be brought to justice http://t.co/eoDTplTQll,real,https://pbs.twimg.com/media/B6v2VZhCAAAchjw.png,,552806462125506560,charliehebdo
In sympathy and solidarity with @Charlie_Hebdo_ #CharlieHebdo,In sympathy and solidarity with @Charlie_Hebdo_ #CharlieHebdo http://t.co/W2CBdVJ0k6,real,https://pbs.twimg.com/media/B6v27_PIEAE9mPf.jpg,,552806890498191361,charliehebdo
#CharlieHebdo in the eyes of #CharlieHebdo,#CharlieHebdo in the eyes of #CharlieHebdo http://t.co/v195erxsY2,real,https://pbs.twimg.com/media/B6v3NXpIEAAsSjg.jpg,,552807191775043585,charliehebdo
RT #JeSuisCharlie In support of #CharlieHebdo.,RT #JeSuisCharlie In support of #CharlieHebdo. http://t.co/EvNntxSRIc,real,https://pbs.twimg.com/media/B6v3QHbIEAAT-JO.png,,552807236339507200,charliehebdo
Video: #CharlieHebdo's editor tells Al Jazeera why they are a target [2012],Video: #CharlieHebdo's editor tells Al Jazeera why they are a target [2012] http://t.co/EJK2Em0M8R http://t.co/UK970UDPPz,real,https://pbs.twimg.com/media/B6v3y2CIQAEtfUI.png,,552807832257835008,charliehebdo
This cartoon by Robert Mankoff from The New Yorker Sept 2012. #CharlieHebdo,This cartoon by Robert Mankoff from The New Yorker Sept 2012. #CharlieHebdo http://t.co/pyQfnV42Su,real,https://pbs.twimg.com/media/B6v33BbIcAEb0q7.png,,552807904597008385,charliehebdo
Every newspaper should publish a free issue of #charliehebdo so we can all see the reason 12 people have died today.,Every newspaper should publish a free issue of #charliehebdo so we can all see the reason 12 people have died today. http://t.co/XazdjLCAOR,real,https://pbs.twimg.com/media/B6vvQ3vCUAAH2eM.jpg,,552808138127446016,charliehebdo
"Only this, today #CharlieHebdo","Only this, today #CharlieHebdo http://t.co/QXfYkDwBtd",real,https://pbs.twimg.com/media/B6v4i5VCEAMSguh.jpg,,552808658510561280,charliehebdo
"""Terror"" in France: Gunmen in #CharlieHebdo attack still at large. What we know so far (Getty)","""Terror"" in France: Gunmen in #CharlieHebdo attack still at large. What we know so far http://t.co/Jfqmha1GdV (Getty) http://t.co/2QyDcbE7P6",real,https://pbs.twimg.com/media/B6v4V0HCEAE4NK0.jpg,,552808701065953280,charliehebdo
Journalists and others using #JeSuisCharlie to express support for freedom of speech after Paris attack,Journalists and others using #JeSuisCharlie to express support for freedom of speech after Paris attack http://t.co/OSzSvL3pKy,real,https://pbs.twimg.com/media/B6v20-gCIAEKnKS.jpg,,552809336360419329,charliehebdo
"Anyone that believes tolerance is the solution to militant islam, remember this picture. #CharlieHebdo","Anyone that believes tolerance is the solution to militant islam, remember this picture. #CharlieHebdo http://t.co/SGVZjaUqgV",real,https://pbs.twimg.com/media/B6v3--oCUAAPnU7.jpg,,552810032765497345,charliehebdo
Stop making excuses for terrorists. #CharlieHebdo tweeted this before Christmas and there'll be no avenging Jesus.,Stop making excuses for terrorists. #CharlieHebdo tweeted this before Christmas and there'll be no avenging Jesus. http://t.co/BS3Z759LLx,real,https://pbs.twimg.com/media/B6v52yLIUAAIrXB.jpg,,552810124776308736,charliehebdo
Here's what we know about the #CharlieHebdo attack so far,Here's what we know about the #CharlieHebdo attack so far http://t.co/MUwOzTP7kI http://t.co/b8UzO0Gz5W,real,https://pbs.twimg.com/media/B6v5_UeCcAA6BfR.jpg,,552810287695659009,charliehebdo
"In reporting the #CharlieHebdo terrorist attack, @Telegraph blurs out the French mag's cover cartoon of Mohammed","In reporting the #CharlieHebdo terrorist attack, @Telegraph blurs out the French mag's cover cartoon of Mohammed http://t.co/8SDCsSVlc8",real,https://pbs.twimg.com/media/B6v6PRgCEAEubTK.png,,552810625873633280,charliehebdo
"#NATO SG statement on terrorist attack in #Paris, #France","#NATO SG statement on terrorist attack in #Paris, #France http://t.co/UBFmqktXjC http://t.co/KZCi5UR5fx",real,https://pbs.twimg.com/media/B6v6kdRIgAE8AVy.png,,552810884029222912,charliehebdo
No more hand-wringing and fence-sitting. To support #CharlieHebdo and #FreedomOfSpeech we must publish their images.,No more hand-wringing and fence-sitting. To support #CharlieHebdo and #FreedomOfSpeech we must publish their images. http://t.co/N2M2bzT6ao,real,https://pbs.twimg.com/media/B6v6ylPCUAAMmgd.jpg,,552811128326475776,charliehebdo
#CharlieHebdo: what we know so far,#CharlieHebdo: what we know so far http://t.co/7GgpZ4tKlF http://t.co/yMGSiOnl3H,real,https://pbs.twimg.com/media/B6v653CCQAEyfXt.png,,552811254667288576,charliehebdo
#CharlieHebdo shooting: what we know so far,#CharlieHebdo shooting: what we know so far http://t.co/6YUX5mot92 http://t.co/nC9fYCh6qd,real,https://pbs.twimg.com/media/B6v69yaIQAUxx2F.png,,552811319079227393,charliehebdo
"World leaders condemn the #CharlieHebdo attack as ""barbaric"", ""sickening"" and ""intolerable"".","World leaders condemn the #CharlieHebdo attack as ""barbaric"", ""sickening"" and ""intolerable"". http://t.co/c05qiB7eIu http://t.co/HaijRrbwlz",real,https://pbs.twimg.com/media/B6v7AN1CUAELq9f.jpg,,552811408094945280,charliehebdo
"Make Fun of Hindu God's #PK = Creativity , Freedom of Expression Make Fun of A Prophet = 12 killed #CharlieHebdo","Make Fun of Hindu God's #PK = Creativity , Freedom of Expression Make Fun of A Prophet = 12 killed #CharlieHebdo http://t.co/1qQGFtuhO2",real,https://pbs.twimg.com/media/B6v7ObdIIAIiCqX.jpg,,552811606640721921,charliehebdo
"Hours before the attack, #CharlieHebdo published a cartoon featuring the Islamic State: (epa)","Hours before the attack, #CharlieHebdo published a cartoon featuring the Islamic State: http://t.co/Jfqmha1GdV (epa) http://t.co/yeWyZxIdHH",real,https://pbs.twimg.com/media/B6v6gnsCUAA-U5d.jpg,,552811772038881280,charliehebdo
If we submit to extremists this Cartoon by Robert Mankoff from The New Yorker will be the norm. #CharlieHebdo,If we submit to extremists this Cartoon by Robert Mankoff from The New Yorker will be the norm. #CharlieHebdo http://t.co/sNMbQVPlqJ,real,https://pbs.twimg.com/media/B6v7nMKCYAAF35f.jpg,,552812040926941185,charliehebdo
Thousands tweeting #JeSuisCharlie in support of #CharlieHebdo.,Thousands tweeting #JeSuisCharlie in support of #CharlieHebdo. http://t.co/GfdXTw6jgl,real,https://pbs.twimg.com/media/B6v7rDHCEAE6bp9.png,,552812098057936896,charliehebdo
The car used by armed gunmen who stormed the Paris offices of satirical newspaper #CharlieHebdo Photo D. Faget #AFP,The car used by armed gunmen who stormed the Paris offices of satirical newspaper #CharlieHebdo Photo D. Faget #AFP http://t.co/ZBkDglcBcE,real,https://pbs.twimg.com/media/B6v7rnJCQAMQkX0.jpg,,552812188315172864,charliehebdo
"Gunmen responsible for deadly attack on #CharlieHebdo are still on the loose, @fhollande says.","Gunmen responsible for deadly attack on #CharlieHebdo are still on the loose, @fhollande says. http://t.co/sBOkqaRg1Y http://t.co/km88JvZmCa",real,https://pbs.twimg.com/media/B6v78gzIQAAZXuP.png,,552812399997489152,charliehebdo
Pray for the victims. Deadly terrorist attack on French magazine Charlie Hebdo in Paris #FreePress,Pray for the victims. Deadly terrorist attack on French magazine Charlie Hebdo in Paris #FreePress http://t.co/HCEG92Zxtz,real,https://pbs.twimg.com/media/B6v79f7IEAEjgeG.jpg,,552812416485294080,charliehebdo
Deeply disturbed and saddened by yet another Islamist massacre. Shame on religion. #CharlieHebdo #ParisShooting .,Deeply disturbed and saddened by yet another Islamist massacre. Shame on religion. #CharlieHebdo #ParisShooting . http://t.co/H6yPad7bWD,real,https://pbs.twimg.com/media/B6v8ScVCAAAjrNA.jpg,,552812775907422209,charliehebdo
Single finger raised by #CharlieHebdo gunman looks like what ISIS fighters often do in battle. CC @EliotHiggins,Single finger raised by #CharlieHebdo gunman looks like what ISIS fighters often do in battle. http://t.co/6GmumrBndC CC @EliotHiggins,real,https://pbs.twimg.com/media/B6v6LoZCIAA1b25.png,,552812811651272705,charliehebdo
Charlie Hebdo attack: what we know so far – live updates @claire_phipps,Charlie Hebdo attack: what we know so far – live updates http://t.co/FzR7qMoeKB @claire_phipps http://t.co/YDuMHPAHrt,real,https://pbs.twimg.com/media/B6v8czfIAAEFpCp.jpg,,552812951208722432,charliehebdo
We can never allow the barbaric savagery of islamic extremism to defeat our right to free speech. #CharlieHebdo,We can never allow the barbaric savagery of islamic extremism to defeat our right to free speech. #CharlieHebdo http://t.co/YmQqlYNbnx,real,https://pbs.twimg.com/media/B6v8evDCYAAYRPr.jpg,,552812984343330816,charliehebdo
"A terrorist might appear from among Muslims, but then he loses the qualities that make him Muslim. *** #CharlieHebdo","A terrorist might appear from among Muslims, but then he loses the qualities that make him Muslim. *** #CharlieHebdo http://t.co/YFQh8QmShP",real,https://pbs.twimg.com/media/B6v8gQWIQAAr9y5.png,,552813011803836416,charliehebdo
Simply put by our French colleagues in solidarity with the journalists of #CharlieHebdo,Simply put by our French colleagues in solidarity with the journalists of #CharlieHebdo http://t.co/mXwAsi2N4S,real,https://pbs.twimg.com/media/B6v9dtTCEAITR1I.jpg,,552814076167213056,charliehebdo
"Let there be more, not less. #CharlieHebdo","Let there be more, not less. #CharlieHebdo http://t.co/Ut4yuxi30O",real,https://pbs.twimg.com/media/B6v9hMOCUAAtRnx.png,,552814130827370498,charliehebdo
"Real Muslims have never seen, and cannot see #terrorism as a way for solving their problems.*** #CharlieHebdo","Real Muslims have never seen, and cannot see #terrorism as a way for solving their problems.*** #CharlieHebdo http://t.co/sdJvdNxAGM",real,https://pbs.twimg.com/media/B6v9hzeCUAErubT.png,,552814137857036289,charliehebdo
"#CHARLIEHEBDO SHOOTING: Gunmen still at large, manhunt underway - LIVE UPDATES","#CHARLIEHEBDO SHOOTING: Gunmen still at large, manhunt underway - LIVE UPDATES http://t.co/3Jsosc7yl3 http://t.co/LzCuCBqQP8",real,https://pbs.twimg.com/media/B6v9mFaIUAAfPz9.jpg,,552814213081866240,charliehebdo
How the terrorists win: @Telegraph is now blurring the cover Mohammed cartoon of #CharlieHebdo in its reporting,How the terrorists win: @Telegraph is now blurring the cover Mohammed cartoon of #CharlieHebdo in its reporting http://t.co/DffGzIrQZI,real,https://pbs.twimg.com/media/B6v9p-nCQAAaQEZ.png,,552814280471367680,charliehebdo
"When free speach die, we die. All thoughts to #CharlieHebdo who on this issue wrote ""Love is stronger than hate""","When free speach die, we die. All thoughts to #CharlieHebdo who on this issue wrote ""Love is stronger than hate"" http://t.co/IizcmJJVOD",real,https://pbs.twimg.com/media/B6v9vZTCQAEOFpS.jpg,,552814382338826240,charliehebdo
The world would be a far better place if all religious fanatics followed this advice #CharlieHebdo,The world would be a far better place if all religious fanatics followed this advice #CharlieHebdo http://t.co/HD43ebNTbT,real,https://pbs.twimg.com/media/B6v96eGCYAInyjO.jpg,,552814566594576386,charliehebdo
World’s Press Condemns Attack Against #CharlieHebdo #jesuischarlie,World’s Press Condemns Attack Against #CharlieHebdo #jesuischarlie http://t.co/Jyfjz7noMG http://t.co/2xeKhgGily,real,https://pbs.twimg.com/media/B6v-GaKCUAEH2HJ.png,,552814766369284097,charliehebdo
. Take a stand and RT: I am #CharlieHebdo I am #CharlieHebdo,. Take a stand and RT: I am #CharlieHebdo I am #CharlieHebdo http://t.co/OpdN8c5VQo,real,https://pbs.twimg.com/media/B6v-F7DCIAIvlM7.jpg,,552814770542628865,charliehebdo
