id,event,label,tweet_text,image_link,has_image,json_path,tweet_text_clean
552789196906459136,charliehebdo,real,"Today's #CharlieHebdo cover on Houellebecq: ""In 2022 I'll observe Ramadan"" http://t.co/G7zbitA3Cj",https://pbs.twimg.com/media/B6vm2FfCEAAtHyt.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552789196906459136\source-tweet\552789196906459136.json,"Today's #CharlieHebdo cover on Houellebecq: ""In 2022 I'll observe Ramadan"""
552789252690706432,charliehebdo,real,#CharlieHebdo. That is all. http://t.co/9zzpYZcAJ8,https://pbs.twimg.com/media/B6vm5ORIYAEQbDW.png,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552789252690706432\source-tweet\552789252690706432.json,#CharlieHebdo. That is all.
552789443644751872,charliehebdo,real,"If this cartoon is why #CharlieHebdo staff have been shot at, all publications should show solidarity and republish http://t.co/LGuUi7dj1u",https://pbs.twimg.com/media/B6vnDs9IYAA57ub.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552789443644751872\source-tweet\552789443644751872.json,"If this cartoon is why #CharlieHebdo staff have been shot at, all publications should show solidarity and republish"
552789550238801920,charliehebdo,real,Solidarity with Charlie Hebdo. http://t.co/gvLp0NwLax,https://pbs.twimg.com/media/B6vnKo7CAAAvfKP.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552789550238801920\source-tweet\552789550238801920.json,Solidarity with Charlie Hebdo.
552789583260577792,charliehebdo,real,"Charlie Hebdo's Nov 2011 CHARIA HEBDO ""guest-edited"" by Muhammad:""100 lashes of the whip if you don't die laughing."" http://t.co/5EzG448CNm",https://pbs.twimg.com/media/B6vnMibCMAAA5xT.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552789583260577792\source-tweet\552789583260577792.json,"Charlie Hebdo's Nov 2011 CHARIA HEBDO ""guest-edited"" by Muhammad:""100 lashes of the whip if you don't die laughing."""
552789886202175490,charliehebdo,real,"Charlie Hebdo's last cartoon on Twitter: Abu Bakr al-Baghdadi saying ""and especially, health!"" (New Year's greeting) http://t.co/UMEWDeR6z4",https://pbs.twimg.com/media/B6vndGVCMAEtAN1.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552789886202175490\source-tweet\552789886202175490.json,"Charlie Hebdo's last cartoon on Twitter: Abu Bakr al-Baghdadi saying ""and especially, health!"" (New Year's greeting)"
552790565642067968,charliehebdo,real,"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/gG5ZCJK9Ac",https://pbs.twimg.com/media/B6vj-t8CIAA4z81.png,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552790565642067968\source-tweet\552790565642067968.json,"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this?"
552790598823186432,charliehebdo,real,"If the #CharlieHebdo killings are what many think they are, there are dark days ahead for #France and Europe. Everyone will lose.",,0,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552790598823186432\source-tweet\552790598823186432.json,"If the #CharlieHebdo killings are what many think they are, there are dark days ahead for #France and Europe. Everyone will lose."
552790695036321793,charliehebdo,real,"""Love Stronger Than Hate."" All our thoughts with #CharlieHebdo http://t.co/BqRLXRZdJT",https://pbs.twimg.com/media/B6voNPPCEAE8eop.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552790695036321793\source-tweet\552790695036321793.json,"""Love Stronger Than Hate."" All our thoughts with #CharlieHebdo"
552791159232540673,charliehebdo,real,This is the #CharlieHebdo cover of Prophet Mohammed that provoked firebombing of its offices http://t.co/hOUA9DrVaK http://t.co/vDj5EGiRRq,https://pbs.twimg.com/media/B6vooHgIAAAdxzr.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552791159232540673\source-tweet\552791159232540673.json,This is the #CharlieHebdo cover of Prophet Mohammed that provoked firebombing of its offices
552791203432103937,charliehebdo,real,Why it's Charlie Hebdo's right to draw Muhammad http://t.co/GlF9dgwFS0 http://t.co/Vkfw5ZbmvC,https://pbs.twimg.com/media/B6vogCeCcAInfe5.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552791203432103937\source-tweet\552791203432103937.json,Why it's Charlie Hebdo's right to draw Muhammad
552791332935434242,charliehebdo,real,"For those saying we don't yet know who's responsible for #CharlieHebdo killings, yes, you're right, it was probably fundamentalist atheists.",,0,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552791332935434242\source-tweet\552791332935434242.json,"For those saying we don't yet know who's responsible for #CharlieHebdo killings, yes, you're right, it was probably fundamentalist atheists."
552791414388424704,charliehebdo,real,"Anybody who wants to talk about what Charlie Hebdo might have done to ""provoke"" this should probably shut up, forever.",,0,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552791414388424704\source-tweet\552791414388424704.json,"Anybody who wants to talk about what Charlie Hebdo might have done to ""provoke"" this should probably shut up, forever."
552791678881660928,charliehebdo,real,Cowardly attack on Charlie Hebdo's offices. The humourless fanatics can fuck off. Freedom of speech is more important than your feelings.,,0,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552791678881660928\source-tweet\552791678881660928.json,Cowardly attack on Charlie Hebdo's offices. The humourless fanatics can fuck off. Freedom of speech is more important than your feelings.
552791719272775680,charliehebdo,real,The Guardian has live coverage of the Paris shooting at Charlie Hebdo http://t.co/M27vO7xFIk,,0,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552791719272775680\source-tweet\552791719272775680.json,The Guardian has live coverage of the Paris shooting at Charlie Hebdo
552791831390732289,charliehebdo,real,Appalled to hear news of apparent terrorist attack in Paris. My thoughts are with the family and friends of those killed.,,0,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552791831390732289\source-tweet\552791831390732289.json,Appalled to hear news of apparent terrorist attack in Paris. My thoughts are with the family and friends of those killed.
552792131447037952,charliehebdo,real,in support of those that have died today in Paris #CharlieHebdo #freedomwillNeverDie http://t.co/FkkDZXChdt,https://pbs.twimg.com/media/B6vpg5XIMAAbQAJ.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552792131447037952\source-tweet\552792131447037952.json,in support of those that have died today in Paris #CharlieHebdo #freedomwillNeverDie
552792253601947648,charliehebdo,real,"#Freespeech is a non-negotiable human right. We condemn the appalling attack on Charlie Hebdo, and any attempt to silence the free press.",,0,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552792253601947648\source-tweet\552792253601947648.json,"#Freespeech is a non-negotiable human right. We condemn the appalling attack on Charlie Hebdo, and any attempt to silence the free press."
552792518870708224,charliehebdo,real,"More Charlie Hebdo covers, including ""the life of Mohamed"". These are people willing to kill over a cartoon. http://t.co/VAEnDpBYSu",https://pbs.twimg.com/media/B6vnAc5IAAARkhv.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552792518870708224\source-tweet\552792518870708224.json,"More Charlie Hebdo covers, including ""the life of Mohamed"". These are people willing to kill over a cartoon."
552793409438904321,charliehebdo,real,"I'm uneasy with the portrayal of Charlie Hebdo as magazine that ""provokes"". No, it publishes cartoons. People choose how they react to that.",,0,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552793409438904321\source-tweet\552793409438904321.json,"I'm uneasy with the portrayal of Charlie Hebdo as magazine that ""provokes"". No, it publishes cartoons. People choose how they react to that."
552793759210307584,charliehebdo,real,Not 1st attack on #CharlieHebdo. Office was firebombed on 2 Nov '11 over controvers. caricature of Prophet Muhammad http://t.co/0wAINRJ1Z7,https://pbs.twimg.com/media/B6vq8KiCMAIZxmq.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552793759210307584\source-tweet\552793759210307584.json,Not 1st attack on #CharlieHebdo. Office was firebombed on 2 Nov '11 over controvers. caricature of Prophet Muhammad
552794286849536001,charliehebdo,real,"Paris on maximum alert after #CharlieHebdo attack, officials say as President Hollande arrives at scene http://t.co/MmxR2nmi5R",,0,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552794286849536001\source-tweet\552794286849536001.json,"Paris on maximum alert after #CharlieHebdo attack, officials say as President Hollande arrives at scene"
552794514424102913,charliehebdo,real,Paris alert status raised to the highest level with #CharlieHebdo gunmen reportedly on the run http://t.co/xcK8lY9IeR http://t.co/tQuxQ06Q7f,https://pbs.twimg.com/media/B6vrTxuCIAAuNVt.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552794514424102913\source-tweet\552794514424102913.json,Paris alert status raised to the highest level with #CharlieHebdo gunmen reportedly on the run
552794995942772736,charliehebdo,real,'...but I will to the death defend your right to say it'. #charliehebdo #voltaire http://t.co/oFEHT8Xx3v,https://pbs.twimg.com/media/B6vsHrAIUAEmxdf.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552794995942772736\source-tweet\552794995942772736.json,'...but I will to the death defend your right to say it'. #charliehebdo #voltaire
552795056080691200,charliehebdo,real,VIDEO from the scene of fatal shooting in Paris http://t.co/sL3aG464Lt #CharlieHebdo http://t.co/FLC3mR5C2S,https://pbs.twimg.com/media/B6vrEMVCAAEeIiQ.png,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552795056080691200\source-tweet\552795056080691200.json,VIDEO from the scene of fatal shooting in Paris #CharlieHebdo
552795778922864640,charliehebdo,real,It would go some way as a tribute to those killed at #CharlieHebdo if papers in every democracy published this Thurs http://t.co/CyqwWWWgJh,https://pbs.twimg.com/media/B6vs1A8IgAEx6-V.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552795778922864640\source-tweet\552795778922864640.json,It would go some way as a tribute to those killed at #CharlieHebdo if papers in every democracy published this Thurs
552795953301045248,charliehebdo,real,French president #Hollande says there is no doubt attack on #CharlieHebdo is terrorist attack. http://t.co/Rve1Lp0EXf http://t.co/8LFA5LFSnS,https://pbs.twimg.com/media/B6vs6fyCYAENwjm.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552795953301045248\source-tweet\552795953301045248.json,French president #Hollande says there is no doubt attack on #CharlieHebdo is terrorist attack.
552796269069209600,charliehebdo,real,DEVELOPING: Paris on high terrorist alert after #CharlieHebdo shooting - Hollande http://t.co/3Jsosc7yl3 http://t.co/Lvv3J8o6e8,https://pbs.twimg.com/media/B6vtOGNCYAAT6Qa.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552796269069209600\source-tweet\552796269069209600.json,DEVELOPING: Paris on high terrorist alert after #CharlieHebdo shooting - Hollande
552796506642591744,charliehebdo,real,Check this photo via journo @EliseBarthet. Alleged pic of the gunmen facing a police car near #CharlieHebdo offices: http://t.co/eBpt190LD0,https://pbs.twimg.com/media/B6vtferCUAAJ5r-.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552796506642591744\source-tweet\552796506642591744.json,Check this photo via journo @EliseBarthet. Alleged pic of the gunmen facing a police car near #CharlieHebdo offices:
552796522904297472,charliehebdo,real,"We don't know who carried out Charlie Hebdo attack. However if they were Muslims, then they are the enemies of me and most other Muslims.",,0,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552796522904297472\source-tweet\552796522904297472.json,"We don't know who carried out Charlie Hebdo attack. However if they were Muslims, then they are the enemies of me and most other Muslims."
552796619104866304,charliehebdo,real,Here are some of the satirical pictures Charlie Hebdo have produced #freespeech #BanIslam http://t.co/m4OaNCf5e0,https://pbs.twimg.com/media/B6vtlK1IMAAyYRQ.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552796619104866304\source-tweet\552796619104866304.json,Here are some of the satirical pictures Charlie Hebdo have produced #freespeech #BanIslam
552796625467621376,charliehebdo,real,#CharlieHebdo: Love is stronger than hate. http://t.co/23KHz2OsH3,https://pbs.twimg.com/media/B6vtl26CYAIY1Wj.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552796625467621376\source-tweet\552796625467621376.json,#CharlieHebdo: Love is stronger than hate.
552796895513681920,charliehebdo,real,#CharlieHebdo - Hollande: Media shooting was 'undoubtedly terrorist attack'. Photo: Kenzo Tribouillard #AFP http://t.co/ZK41w7J7yc,https://pbs.twimg.com/media/B6vtzEZCYAAg2_v.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552796895513681920\source-tweet\552796895513681920.json,#CharlieHebdo - Hollande: Media shooting was 'undoubtedly terrorist attack'. Photo: Kenzo Tribouillard #AFP
552797058990870528,charliehebdo,real,Spread this cover in solidarity with the victims at Charlie Hebdo. Don't let the sword conquer the pen. http://t.co/XVkPPbkLhn,https://pbs.twimg.com/media/B6vt-7tCUAASIpI.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552797058990870528\source-tweet\552797058990870528.json,Spread this cover in solidarity with the victims at Charlie Hebdo. Don't let the sword conquer the pen.
552797114863198208,charliehebdo,real,TREND IT #IStandWithFrance http://t.co/7M7PwFJnkz,,0,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552797114863198208\source-tweet\552797114863198208.json,TREND IT #IStandWithFrance
552797148975464448,charliehebdo,real,BREAKING: Astonishing video of the Paris terror attack as it was happening &gt; http://t.co/sglPyWCWhL (via @BBCDanielS ) #CharlieHebdo,,0,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552797148975464448\source-tweet\552797148975464448.json,BREAKING: Astonishing video of the Paris terror attack as it was happening &gt; (via @BBCDanielS ) #CharlieHebdo
552797154692300800,charliehebdo,real,We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,,0,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552797154692300800\source-tweet\552797154692300800.json,We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_
552797170295144449,charliehebdo,real,Video of #terrorists attacking Charlie Hebdo HQ in Paris http://t.co/SdniwkJtT1 http://t.co/z6O8IhNjCk,https://pbs.twimg.com/media/B6vuCHrCEAEwGmP.png,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552797170295144449\source-tweet\552797170295144449.json,Video of #terrorists attacking Charlie Hebdo HQ in Paris
552797729504886784,charliehebdo,real,"Six days after Charlie Hebdo’s offices were firebombed, their front cover was this. “Love is stronger than hate.” http://t.co/7YInU4Cc00",https://pbs.twimg.com/media/B6vumtkCIAAjZeK.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552797729504886784\source-tweet\552797729504886784.json,"Six days after Charlie Hebdo’s offices were firebombed, their front cover was this. “Love is stronger than hate.”"
552797828977029120,charliehebdo,real,Shocked &amp; appalled by senseless attack at 'Charlie Hebdo' - London stands with Paris &amp; the people of France against this horrific scourge,,0,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552797828977029120\source-tweet\552797828977029120.json,Shocked &amp; appalled by senseless attack at 'Charlie Hebdo' - London stands with Paris &amp; the people of France against this horrific scourge
552798010196107264,charliehebdo,real,BREAKING: French government raises security alert to highest level after deadly attack at magazine Charlie Hebdo. http://t.co/ak9mTVfJdR,,0,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552798010196107264\source-tweet\552798010196107264.json,BREAKING: French government raises security alert to highest level after deadly attack at magazine Charlie Hebdo.
552798016646942721,charliehebdo,real,"Charlie Hebdo, we love you",,0,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552798016646942721\source-tweet\552798016646942721.json,"Charlie Hebdo, we love you"
552798200990806016,charliehebdo,real,"Our sympathies &amp; prayers are with the victims, their families &amp; the French people. #Ahmadiyya Muslims totally condemn murder #CharlieHebdo",,0,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552798200990806016\source-tweet\552798200990806016.json,"Our sympathies &amp; prayers are with the victims, their families &amp; the French people. #Ahmadiyya Muslims totally condemn murder #CharlieHebdo"
552798310889566209,charliehebdo,real,"I don't support the cartoons or language published by publishers BUT #CharlieHebdo attack is indeed ""sickening"". 11 dead in #terrorattack",,0,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552798310889566209\source-tweet\552798310889566209.json,"I don't support the cartoons or language published by publishers BUT #CharlieHebdo attack is indeed ""sickening"". 11 dead in #terrorattack"
552798640679702528,charliehebdo,real,Freedom of expression should never be an act of bravery. Whoever threatens it is an enemy of all freedom-loving people. #CharlieHebdo,,0,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552798640679702528\source-tweet\552798640679702528.json,Freedom of expression should never be an act of bravery. Whoever threatens it is an enemy of all freedom-loving people. #CharlieHebdo
552798832359374849,charliehebdo,real,Our thoughts go out out to people at Charlie Hebdo and their families. Senseless violence is never the answer. http://t.co/YGscPqvtYM,https://pbs.twimg.com/media/B6vvm4rCcAA6vlV.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552798832359374849\source-tweet\552798832359374849.json,Our thoughts go out out to people at Charlie Hebdo and their families. Senseless violence is never the answer.
552799100715167744,charliehebdo,real,France raises national alert system to highest level after attack at Charlie Hebdo HQ http://t.co/TyRyAhzSPP http://t.co/cWYQCmwg0z,https://pbs.twimg.com/media/B6vv2lQIMAAydny.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552799100715167744\source-tweet\552799100715167744.json,France raises national alert system to highest level after attack at Charlie Hebdo HQ
552799606833430528,charliehebdo,real,"I do not agree with what you have to say, but I'll defend to the death your right to say it - Voltaire #CharlieHebdo http://t.co/Mbn5SiWA7Z",https://pbs.twimg.com/media/B6vwT57CUAIhkaR.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552799606833430528\source-tweet\552799606833430528.json,"I do not agree with what you have to say, but I'll defend to the death your right to say it - Voltaire #CharlieHebdo"
552799669521481728,charliehebdo,real,"""100 lashes if you don't die of laughter."" Eleven people killed over this. #Paris #CharlieHebdo http://t.co/87cB3mWVAQ",https://pbs.twimg.com/media/B6vwXr9IUAAobLX.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552799669521481728\source-tweet\552799669521481728.json,"""100 lashes if you don't die of laughter."" Eleven people killed over this. #Paris #CharlieHebdo"
552800070199148544,charliehebdo,real,How to respond to the murderous attack on Charlie Hebdo? Every newspaper in the free world should print this. http://t.co/sC2ot63F6j,https://pbs.twimg.com/media/B6vwvCVIQAASBJx.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552800070199148544\source-tweet\552800070199148544.json,How to respond to the murderous attack on Charlie Hebdo? Every newspaper in the free world should print this.
552800222553079809,charliehebdo,real,There is never justification for violence because one is offended by a cartoon. Ever. #CharlieHebdo http://t.co/RhBpC5Iwh9,https://pbs.twimg.com/media/B6vw3KXCQAQkQSD.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552800222553079809\source-tweet\552800222553079809.json,There is never justification for violence because one is offended by a cartoon. Ever. #CharlieHebdo
552800223496790018,charliehebdo,real,"Worth remembering Jens Stoltenberg's words after Utøya: ""Our response is more democracy, more openness and more humanity"" #CharlieHebdo",,0,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552800223496790018\source-tweet\552800223496790018.json,"Worth remembering Jens Stoltenberg's words after Utøya: ""Our response is more democracy, more openness and more humanity"" #CharlieHebdo"
552800290861510656,charliehebdo,real,#CharlieHebdo Attack. I have just been asked by AlJazeera if CharlieHebdo journalists should apologize (for making fun at Islamists).,,0,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552800290861510656\source-tweet\552800290861510656.json,#CharlieHebdo Attack. I have just been asked by AlJazeera if CharlieHebdo journalists should apologize (for making fun at Islamists).
552800929519792128,charliehebdo,real,At least 11 dead in Muslim terror attack on France. Show your support by posting Charlie Hebdo cartoons. #banislam http://t.co/85PozIrhHg,https://pbs.twimg.com/media/B6vxgyDIMAIhapj.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552800929519792128\source-tweet\552800929519792128.json,At least 11 dead in Muslim terror attack on France. Show your support by posting Charlie Hebdo cartoons. #banislam
552801028262096896,charliehebdo,real,LATEST: At least 11 dead in shooting at French magazine #CharlieHebdo; France raises terror alert to highest level http://t.co/JVRjF5b1lw,,0,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552801028262096896\source-tweet\552801028262096896.json,LATEST: At least 11 dead in shooting at French magazine #CharlieHebdo; France raises terror alert to highest level
552801115516186625,charliehebdo,real,#France has a problem (and quite a serious one) #CharlieHebdo http://t.co/H15l2ARF3d,https://pbs.twimg.com/media/B6vxq-qIMAMDMLL.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552801115516186625\source-tweet\552801115516186625.json,#France has a problem (and quite a serious one) #CharlieHebdo
552801667855695873,charliehebdo,real,Masked gunmen pictured near #CharlieHebdo offices http://t.co/Zvfj25EnEc http://t.co/qTWhoLqICk,https://pbs.twimg.com/media/B6vyMB_IUAAmf-5.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552801667855695873\source-tweet\552801667855695873.json,Masked gunmen pictured near #CharlieHebdo offices
552801724898226176,charliehebdo,real,Fact: Most every journalist in India will stand with #CharlieHebdo. But not one publication will reprint their most controversial work.,,0,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552801724898226176\source-tweet\552801724898226176.json,Fact: Most every journalist in India will stand with #CharlieHebdo. But not one publication will reprint their most controversial work.
552801894092275712,charliehebdo,real,"We condemn the attack on #CharlieHebdo Whomever the attackers are, and whatever the cause may be, nothing justifies the taking of life",,0,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552801894092275712\source-tweet\552801894092275712.json,"We condemn the attack on #CharlieHebdo Whomever the attackers are, and whatever the cause may be, nothing justifies the taking of life"
552801979861598208,charliehebdo,real,The right 2 draw Muhammad without being shot is as precious to many of us as Muhammad is to the #CharlieHebdo killers http://t.co/QeDw4tRoK9,https://pbs.twimg.com/media/B6vyeJtCEAAtFvo.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552801979861598208\source-tweet\552801979861598208.json,The right 2 draw Muhammad without being shot is as precious to many of us as Muhammad is to the #CharlieHebdo killers
